a		Nc, Ng, Vit, I, E
rượu tăm		Nc, Ng
rượu thuốc		Nc, Ng
rượu vang		Nc, Ng
rứt		Vt
rứt ruột		Vit
S.O.S.		Np
sa		Na, Vit
sa bàn		Nc, Ng
sa bồi		Na
sa-ca-rin		Np
sa-ca-rô-da		Np
sa chân		Vt
sa cơ		Vit
sa đà		Vt
sa đì		Na
sa đoạ		Aa
sa khoáng		Nc, Ng
sa lầy		Vit
sa lệch		Na
sa mạc		Nc, Ng
sa môn		Na
sa ngã		Vit
sa nhân		Nc, Ng
sa sả		Jd
sa sâm		Na
sa sầm		Vit
sa sẩy		Vit
sa sút		Vit
sa thạch		Na
sa thải		Vt
sa trường		Na
sà		Vit
sà lan		Nc, Ng
sà lúp		Nc, Ng
sả		Nc, Ng, Vt
sã		Vit
sá		Na, Vt, Jd
sạ		Vt
sạc		Vt
sacarin		Np
sacaroza		Np
saccharin		Np
saccharos		Np
sách		Nc, Ng
sách công cụ		Nc, Ng
sách đen		Nc, Ng
sách đỏ		Nc, Ng
sách giáo khoa		Nc, Ng
sách gối đầu giường		Nc, Ng
sách lược		Na
sách nhiễu		Vt
sách trắng		Nc, Ng
sách vở		Nc, Ng, Aa
sạch		Aa, Jd
sạch bong		Aa
sạch bóng		Aa
sạch li lau		Aa
sạch ly lau		Aa
sạch mắt		Aa
sạch nước cản		Aa
sạch sành sanh		Aa
sạch sẽ		Aa
sạch trơn		Aa
sai		Vt, Aa
sai bảo		Vt
sai biệt		Aa
sai dị		Aa
sai dịch		Na
sai khiến		Vt
sai lạc		Aa
sai lầm		Na, Aa
sai lệch		Aa
sai một li đi một dặm		X
sai một ly đi một dặm		X
sai ngoa		Aa
sai nha		Nc, Ng
sai phái		Vt
sai phạm		Na, Vit
sai sót		Na
sai số		Na
sai trái		Aa
sài		Na, Aa
sài đất		Na
sài đẹn		Aa
sài giật		Na
sài hồ		Na
sài kinh		Na
sài lang		Nc, Ng
sải		Na, Vt
sãi		Nc, Ng
sãi vãi		Nc, Ng
sái		Aa
sam		Na
sàm báng		Vit
sàm nịnh		Vit
sàm sỡ		Aa
sám hối		Vit
sạm		Aa
samovar		Np
san		Vt
san định		Vt
san hô		Nc, Ng
san lấp		Vt
san sát		Aa
san sẻ		Vt
sàn		Nc, Ng
sàn diễn		Nc, Ng
sàn sàn		Aa
sản		Na, Vt
sản giật		Na
sản hậu		Na
sản khoa		Na
sản lượng		Na
sản nghiệp		Na
sản phẩm		Nc, Ng
sản phụ		Nc, Ng
sản sinh		Vt
sản vật		Nc, Ng
sản xuất		Na, Vt
sán		Nc, Ng, Vit
sán dây		Nc, Ng
sán lá		Nc, Ng
sán xơ mít		Nc, Ng
sạn		Nc, Ng
sạn mặt		Aa
sang		Vt, Vo, Aa
sang cát		Vit
sang chấn		Na, Aa
sang đoạt		Vt
sang năm		Na
sang nhượng		Vt
sang sảng		Aa
sang sửa		Vt
sang tên		Vit
sang trọng		Aa
sàng		Na, Vt
sàng lọc		Vt
sàng sảy		Vit
sảng		Vit
sảng khoái		Aa
sảng sốt		Vit, Aa
sáng		Nl, Aa
sáng bạch		Aa
sáng bảnh		Aa
sáng bảnh mắt		X
sáng chế		Na, Vt
sáng choang		Aa
sáng dạ		Aa
sáng giá		Aa
sáng kiến		Na
sáng láng		Aa
sáng lập		Vt
sáng loáng		Aa
sáng mai		Na
sáng mắt		Aa
sáng nghiệp		Vit
sáng ngời		Aa
sáng qua		Na
sáng quắc		Aa
sáng rực		Aa
sáng sủa		Aa
sáng suốt		Aa
sáng tác		Nc, Ng, Vt
sáng tạo		Vt, Aa
sáng tỏ		Aa
sáng trưng		Aa
sáng ý		Aa
sanh		Na, Vt
sanh sánh		Aa
sành		Nc, Ng
sành		Nc, Ng, Vt, Aa
sành điệu		Aa
sành sỏi		Aa
sành sứ		Nc, Ng
sảnh		Nc, Ng
sảnh đường		Nc, Ng
sánh		Vt, Aa
sánh bước		Vit
sánh đôi		Vit
sánh vai		Vt
santonin		Np
sao		Nc, Ng, Pi, Vt, I
sao Bắc Cực		Np
sao Bắc Đẩu		Np
sao băng		Nc, Ng
sao chép		Vt
sao chế		Vt
sao chổi		Nc, Ng
sao chụp		Vt
sao Diêm Vương		Np
sao đổi ngôi		Nc, Ng
sao Hải Vương		Np
sao Hoả		Np
sao Hôm		Np
sao Kim		Np
sao lãng		Vt
sao lục		Vt
sao Mai		Np
sao Mộc		Np
sao nhãng		Vt
sao phỏng		Vt
sao sa		Nc, Ng
sao tẩm		Vt
sao Thiên Vương		Np
sao Thổ		Np
sao Thuỷ		Np
sao y bản chính		Vit
sào		Nc, Ng
sào huyệt		Nc, Ng
sảo		Na
sáo		Nc, Ng, Aa
sáo mép		Aa
sáo mòn		Aa
sáo ngữ		Na
sáo rỗng		Aa
sáo sậu		Nc, Ng
sạo sục		Vit
sáp		Nc, Ng
sáp nhập		Vt
sáp ong		Nc, Ng
sạp		Nc, Ng
sát		Vt, Aa, An
sát cánh		Vit
sát hạch		Vit
sát hại		Vt
sát hợp		Aa
sát khí		Na
sát nách		An
sát nhân		Vit
sát nhập		Vt
sát nút		An
sát phạt		Vt
sát sàn sạt		An
sát sao		An
sát sạt		An
sát sinh		Vit
sát sườn		Aa
sát thủ		Nc, Ng
sát thương		Vit
sát trùng		Vit
sạt		Vit
sạt lở		Vit
sạt nghiệp		Vit
sau		Nl
sau đại học		Na
sau rốt		Na
sáu		Na
sáu mươi		Nn
say		Vt, Aa
say đắm		Vt
say hoa đắm nguyệt		Vit
say khướt		Aa
say máu		Vit
say mèm		Aa
say mê		Vt
say như điếu đổ		X
say sưa		Vt
say xỉn		X
sảy		Na, Vt
sắc		Nc, Ng, Vt, Aa
sắc bén		Aa
sắc cạnh		Aa
sắc chỉ		Nc, Ng
sắc diện		Na
sắc dục		Na
sắc đẹp		Na
sắc độ		Na
sắc lẻm		Aa
sắc lẹm		Aa
sắc lệnh		Nc, Ng
sắc luật		Nc, Ng
sắc mắc		Vit
sắc nước		Aa
sắc nước hương trời		X
sắc phong		Vt
sắc phục		Nc, Ng
sắc sảo		Aa
sắc sắc không không		X
sắc thái		Na
sắc thuế		Nc, Ng
sắc tố		Na
sắc tộc		Na
sặc		Vt
sặc gạch		Vit
sặc máu		Vit
sặc mùi		Vt
sặc sỡ		Aa
sặc sụa		Vit, Vt
sặc tiết		Vit
săm		Nc, Ng
săm sắn		Aa
săm se		Vt
săm soi		Vt
sắm		Vt
sắm nắm		Aa
sắm sanh		Vt
sắm sửa		Vt
sắm vai		Vt
sặm		Aa
săn		Vt, Aa
săn bắn		Vit
săn bắt		Vt
săn đón		Vit
săn lùng		Vt
săn sắt		Nc, Ng
săn sóc		Vt
sẵn		Aa, Cc
sẵn lòng		Vt
sẵn sàng		Aa
sắn		Nc, Ng
sắn dây		Nc, Ng
sắn thuyền		Na
săng		Nc, Ng
săng-ta		Np
sằng sặc		Vit
săngta		Np
sắp		Na, Vt, Jt
sắp đặt		Vt
sắp sửa		Vt, Jt
sắp xếp		Vt
sắt		Nc, Ng, Aa
sắt cầm		Na
sắt đá		Aa
sắt non		Nc, Ng
sắt son		Aa
sắt tây		Nc, Ng
sặt		Na
sâm		Nc, Ng
sâm banh		Nc, Ng
sâm cầm		Nc, Ng
sâm nhung		Nc, Ng
sâm sẩm		Aa
sầm		Aa
sầm sập		Aa
sầm sì		Aa
sầm uất		Aa
sẩm		Aa
sẫm		Aa
sấm		Nc, Ng
sấm kí		Na
sấm ký		Na
sấm ngữ		Na
sấm sét		Nc, Ng
sậm		Aa
sâmbanh		Np
sân		Nc, Ng
sân bay		Nc, Ng
sân cỏ		Nc, Ng
sân khấu		Nc, Ng
sân quần		Nc, Ng
sân rồng		Nc, Ng
sân sau		Nc, Ng
sân si		Vit
sân sướng		Nc, Ng
sân thượng		Nc, Ng
sân vận động		Nc, Ng
sần		Aa
sần sùi		Aa
sần sượng		Aa
sẩn		Na, Aa
sấn		Na, Vit, Aa
sấn sổ		Aa
sấp		Aa
sấp bóng		Na
sấp mặt		Aa
sấp ngửa		Na, Aa
sập		Nc, Ng, Vit
sập sùi		Aa
sập tiệm		Vit
sất		I
sâu		Nc, Ng, Aa, An
sâu bệnh		Nc, Ng
sâu bọ		Nc, Ng
sâu cay		Aa
sâu cắn gié		Nc, Ng
sâu cuốn lá		Nc, Ng
sâu đậm		Aa
sâu đo		Nc, Ng
sâu độc		Aa
sâu đục thân		Nc, Ng
sâu gai		Nc, Ng
sâu hoắm		An
sâu keo		Nc, Ng
sâu kín		An
sâu lắng		Aa
sâu mọt		Nc, Ng
sâu nặng		Aa
sâu quảng		Nc, Ng
sâu răng		Nc, Ng
sâu róm		Nc, Ng
sâu rộng		An
sâu sát		Aa
sâu sắc		Aa
sâu vòi voi		Nc, Ng
sâu xa		Aa
sâu xám		Nc, Ng
sầu		Vitim
sầu bi		Aa
sầu đâu		Nc, Ng
sầu đông		Nc, Ng
sầu muộn		Aa
sầu não		Aa
sầu riêng		Nc, Ng
sầu thảm		Aa
sầu tư		Aa
sấu		Nc, Ng
sây		Aa
sây sát		Aa
sầy		Aa
sẩy		Na, Vt
sẩy đàn tan nghé		X
sẩy thai		Vit
sấy		Vt
sấy tóc		Vit
sậy		Nc, Ng
Sb		X
scaner		Np
scanơ		Np
schilling		Np
sđd		X
se		Vt, Aa
se mình		Vit
se sắt		Aa
se sẻ		Nc, Ng
se thắt		Vit
sè		Vt
sè sè		Aa
sẻ		Na, Vt
sẽ		Aa, Jt
sẽ sàng		Aa
sẹ		Na
séc		Na
sém		Vt
seminar		Np
sen		Nc, Ng
sen đầm		Na
sẻn		Vit
sẻn so		Aa
seo		Na, Vt, Aa
sẹo		Nc, Ng
serenata		Np
sét		Na, Vit
sét đánh ngang tai		X
sex		Np
sề		Na, Aa
sề sệ		Vit
sệ		Vit
sên		Na
sền sệt		Aa
sền sệt		Aa
sến		Na
sênh		Na
sênh tiền		Nc, Ng
sểnh		Vt
sếp		Nc, Ng
sệt		Aa
sêu		Vit
sêu tết		Vit
sều		Vt
sếu		Nc, Ng
shekel		Np
shilling		Np
shop		Np
si		Na, Aa
Si		Na
si-lic		Np
si mê		Aa
si tình		Aa
sì		Jd
sì sụp		Vit
sỉ		Aa
sỉ nhục		Vt, Aa
sỉ vả		Vt
sĩ		Na, Vit
sĩ diện		Na, Vit
sĩ hoạn		Na
sĩ khí		Na
sĩ phu		Nc, Ng
sĩ quan		Nc, Ng
sĩ số		Na
sĩ tốt		Nc, Ng
sĩ tử		Nc, Ng
sỉa		Vit
sịa		Na
sic		Aa
SEDA		Np
sida		Np
siếc		Pa
siểm nịnh		Vit
siêng		Aa
siêng năng		Aa
siết		Vt
siêu		Na
siêu âm		Na, Vit, Aa
siêu cường		Na
siêu dẫn		Vit
siêu đao		Nc, Ng
siêu đẳng		Aa
siêu độ		Vit
siêu hạng		Na
siêu hiện thực		Aa
siêu hình		Aa
siêu hình học		Na
siêu lợi nhuận		Na
siêu ngạch		Aa
siêu ngôn ngữ		Na
siêu người mẫu		Nc, Ng
siêu nhân		Nc, Ng
siêu nhiên		Aa
siêu phàm		Aa
siêu quần		Aa
siêu sao		Nc, Ng
siêu sinh tịnh độ		Vit
siêu tần		Aa
siêu thanh		Aa
siêu thăng		Vit
siêu thị		Nc, Ng
siêu thoát		Vit
siêu thực		Aa
siêu tốc		Aa
siêu tự nhiên		Aa
siêu vi khuẩn		Nc, Ng
siêu vi trùng		Nc, Ng
siêu việt		Aa
siêu xa lộ thông tin		Na
sigma		Np
silic		Np
silicium		Np
sim		Nc, Ng
sin		Na
sin sít		An
sinh		Na, Vt, Vit, Vtb
sinh bình		Na
sinh chuyện		Vit
sinh cơ lập nghiệp		Vit
sinh dục		Vit
sinh dưỡng		Vit
sinh đẻ		Vit
sinh địa		Na
sinh đồ		Na
sinh đôi		Vit, Aa
sinh động		Aa
sinh hạ		Vt
sinh hoá		Na, Vit, Aa
sinh hoá học		Na
sinh hoạt		Na, Vit
sinh hoạt phí		Na
sinh học		Na, Aa
sinh kế		Na
sinh khí		Na
sinh khoáng học		Na
sinh li tử biệt		X
sinh lí		Na, Aa
sinh lí học		Na
sinh linh		Na
sinh lợi		Vit
sinh lực		Na
sinh ly tử biệt		X
sinh lý		Na, Aa
sinh lý học		Na
sinh mạng		Na
sinh mệnh		Na
sinh ngữ		Na
sinh nhai		Vit
sinh nhật		Na
sinh nở		Vit
sinh phần		Nc, Ng
sinh quán		Na
sinh sản		Vit
sinh sản hữu tính		Na
sinh sản vô tính		Na
sinh sát		Vit
sinh sau đẻ muộn		Vit
sinh sắc		Na
sinh sôi		Vit
sinh sống		Vit
sinh sự		Vit
sinh sự, sự sinh		X
sinh thái		Na
sinh thái học		Na
sinh thành		Vit
sinh thể		Na
sinh thiết		Vit
sinh thời		Na
sinh thực khí		Nc, Ng
sinh tiền		Na
sinh tiền		Na
sinh tố		Na
sinh tồn		Vit
sinh trưởng		Vit
sinh tử		Vit, Aa
sinh vật		Nc, Ng
sinh vật học		Na, Aa
sinh viên		Nc, Ng
sình		Nc, Ng, Vit
sình lầy		Nc, Ng
sính		Vt, Vim, Vtim
sính lễ		Nc, Ng
sính nghi		Na
siphon		Np
sít		Na, An
sít sao		An
sít sịt		An
sịt mũi		Vit
Sn		X
so		Vtc, Aa
so bì		Vtc
so đo		Vit
so đọ		Vitc
so đũa		Nc, Ng, Vit
so găng		Vit
so kè		Vitc
so le		Aa
so sánh		Vtc
sò		Nc, Ng
sò huyết		Nc, Ng
sỏ		Na
sọ		Nc, Ng
sọ dừa		Nc, Ng
soái		Na
soái phủ		Nc, Ng
soàn soạt		Aa
soán đoạt		Vit
soạn		Vt
soạn giả		Nc, Ng
soạn sửa		Vt
soạn thảo		Vt
soát		Vt
soát xét		Vt
soạt		Aa
sóc		Nc, Ng
sóc vọng		Na
sọc		Nc, Ng
soda		Np
soi		Na
soi		Na, Vt
soi mói		Vt
soi rọi		Vt
soi xét		Vt
sòi		Na
sỏi		Nc, Ng
sõi		Aa
sói		Nc, Ng, Aa
sói lang		Nc, Ng
sol		Nc, Ng
solenoid		Np
som		Na
sọm		Aa
son		Nc, Ng, Aa
son phấn		Nc, Ng
son rỗi		Aa
son sắt		Aa
son sẻ		Aa
son trẻ		Aa
sòn sòn		Aa
són		Vit
sonata		Np
song		Na, Cc
song âm tiết		Aa
song ca		Vit
song đường		Nc, Ng
song hành		Vit
song hỉ		Na
song hỷ		Na
song kiếm		Nc, Ng
song le		Cc
song loan		Na
song mã		Nc, Ng
song ngữ		Aa
song phi		Vit
song phương		Aa
song sinh		Aa
song song		Aa
song tấu		Na, Vit
song thai		Na
song thân		Na
song thất lục bát		X
song tiết		Aa
song toàn		Aa
song tử diệp		Nc, Ng
sòng		Nc, Ng, Aa
sòng phẳng		Aa
sòng sọc		Aa
sõng		Na
sõng soài		Aa
sóng		Na, Vt, Aa
sóng âm		Na
sóng điện từ		Na
sóng đôi		Vit
sóng gió		Nc, Ng
sóng lừng		Nc, Ng
sóng ngầm		Na
sóng radio		Na
sóng rađiô		Na
sóng sánh		Vit
sóng soài		Aa
sóng soải		Aa
sóng sượt		Aa
sóng thần		Nc, Ng
sóng vô tuyến		Na
sonnet		Np
soóc		Na
soong		Na
SOS		Np
S.O.S.		Np
sót		Vt
sọt		Nc, Ng
soum		Np
sô		Na
sô cô la		Nc, Ng
sô vanh		Aa
sồ sề		Aa
sổ		Nc, Ng, Vt, Aa
sổ đen		Nc, Ng
sổ lòng		Vit
sổ mũi		Vit
sổ sách		Nc, Ng
sổ tay		Nc, Ng
sổ thiên tào		Na
sổ toẹt		Vit
sổ vàng		Nc, Ng
sỗ		Aa
sỗ sàng		Aa
số		Na
số ảo		Na
số âm		Na
số báo danh		Nc, Ng
số bị chia		Na
số bị nhân		Na
số bị trừ		Na
số bình quân		Na
số cào		Na
số chẵn		Na
số chia		Na
số dách		Na
số dư		Na
số dương		Na
số đại số		Na
số đề		Na
số đo		Na
số đối		Na
số gia		Na
số hạng		Na
số hiệu		Na
số hoá		Vt
số học		Na
số hữu tỉ		Na
số hữu tỷ		Na
số ít		Na
số không		Na
số kiếp		Na
số là		Cc
số lẻ		Na
số lẻ thập phân		Na
số liệt		Na
số liệu		Na
số lượng		Na
số mệnh		Na
số một		Na
số mũ		Na
số nguyên		Na
số nguyên tố		Na
số nhân		Na
số nhiều		Na
số phận		Na
số phức		Na
số siêu việt		Na
số thành		Na
số thập phân		Na
số thực		Na
số trừ		Na
số từ		Na
số tự nhiên		Na
số tương đối		Na
số vô tỉ		Na
số vô tỷ		Na
sốc		Na
sôcôla		Np
sôi		Vit
sôi động		Vit
sôi gan		Vit
sôi máu		Vit
sôi nổi		Aa
sôi sục		Vit
sồi		Na
sổi		Aa
sồn sồn		Aa
sồn sột		Aa
sông		Nc, Ng
sông cái		Nc, Ng
sông cạn đá mòn		X
sông con		Nc, Ng
sông đào		Nc, Ng
sông máng		Nc, Ng
sông ngòi		Nc, Ng
sông núi		Nc, Ng
sông nước		Nc, Ng
sồng		Na
sổng		Vit
sổng sểnh		Aa
sống		Na, Vit, Vs, Vits, Aa
sống chết		Vit
sống chết mặc bay		X
sống còn		Aa
sống dở chết dở		X
sống động		Aa
sống lâu lên lão làng		X
sống lưng		Nc, Ng
sống mái		Vit
sống mũi		Nc, Ng
sống nhăn		Vit
sống nhăn		Aa
sống sít		Aa
sống sót		Vit
sống sượng		Aa
sống tết chết giỗ		X
sống thác		Vit
sống trâu		Nc, Ng
sốp phơ		Nc, Ng
sộp		Aa
sôpphơ		Np
sốt		Vit, Aa, I
sốt dẻo		Aa
sốt rét		Na
sốt ruột		Vit
sốt sắng		Aa
sốt sột		Jd
sốt vó		Aa
sốt xuất huyết		Na
sột sệt		Aa
sột soạt		Aa
sôvanh		Aa
sơ		Vt, Aa
sơ bộ		Aa
sơ cấp		Aa
sơ chế		Vit
sơ cứu		Vit
sơ đẳng		Aa
sơ đồ		Nc, Ng
sơ giản		Aa
sơ giao		Aa
sơ học		Na
sơ học yếu lược		Na
sơ hở		Na, Vit
sơ kết		Vt
sơ khai		Aa
sơ khảo		Vit
sơ khởi		Aa
sơ kì		Na
sơ kiến		Vit
sơ kỳ		Na
sơ lược		Aa
sơ mi		Nc, Ng
sơ nhiễm		Vt
sơ sài		Aa
sơ sẩy		Vit
sơ sểnh		Vit
sơ sinh		Aa
sơ sót		Na
sơ sơ		Aa
sơ suất		Na, Vit
sơ tán		Vit
sơ thảo		Na, Vit
sơ thẩm		Vit
sơ tuyển		Vit
sơ ý		Vit
sơ yếu		Na
sờ		Vt
sờ lên gáy		X
sờ mó		Vt
sờ sẫm		Vt
sờ soạng		Vit
sờ sờ		Aa
sờ sợ		Vitim
sờ sững		Aa
sở		Nc, Ng
sở cầu		Na, Vit
sở cậy		Vt
sở chỉ huy		Nc, Ng
sở cứ		Na
sở dĩ		Cc
sở đắc		Na, Vit
sở đoản		Na
sở giao dịch		Nc, Ng
sở hữu		Na, Vt
sở hữu cá nhân		Na
sở hữu tập thể		Na
sở hữu toàn dân		Na
sở hữu trí tuệ		Na
Sở Khanh		Np, Na
sở nguyện		Na
sở quan		Aa
sở tại		Aa
sở thích		Na
sở thuộc		Aa
sở trường		Na, Aa
sớ		Nc, Ng
sợ		Vt, Vim, Vtim
sợ hãi		Aa
sợ sệt		Vit, Vim
sởi		Na
sới		Na
sợi		Nc, Ng
sợi chỉ đỏ		Nc, Ng
sợi tóc chẻ làm tư		X
sơm sớm		Aa
sờm sỡ		Aa
sớm		Na, Aa
sớm chiều		Na
sớm hôm		Na
sớm khuya		Na
sớm muộn		Aa
sớm sủa		Aa
sớm tối		Na
sớm trưa		Na
sơmi		Na
sơn		Na, Vt
sơn ca		Nc, Ng
sơn chín		Na
sơn cốc		Na
sơn cùng thuỷ tận		X
sơn cước		Nc, Ng
sơn dã		Na
sơn dầu		Nc, Ng
sơn dương		Nc, Ng
sơn hà		Nc, Ng
sơn hào		Na
sơn hào hải vị		Nc, Ng
sơn hệ		Na
sơn khê		Nc, Ng
sơn lam chướng khí		Np
sơn lâm		Nc, Ng
sơn mạch		Na
sơn mài		Nc, Ng
sơn nữ		Nc, Ng
sơn pháo		Nc, Ng
sơn phòng		Vit
sơn sống		Nc, Ng
sơn thần		Nc, Ng
sơn then		Na
sơn thuỷ		Nc, Ng
sơn trại		Nc, Ng
sơn tràng		Na
sơn xì		Vt
sơn xuyên		Na
sờn		Vit
sờn lòng		Vit
sởn		Vt
sởn gáy		Vit
sởn sơ		Aa
sớn sác		Aa
sớt		Vt
stacte		Np
starter		Np
stato		Np
stator		Np
stereo		Np
stop		Vit
strep-tô-mi-xin		Np
streptomixin		Np
streptomycin		Np
stress		Np
strích-nin		Np
strichnin		Np
strychnin		Np
studio		Np
su		Na
su hào		Nc, Ng
su sê		Nc, Ng
su su		Nc, Ng
sù		Aa
sù sì		Aa
sù sụ		Aa
sú		Nc, Ng, Vt
sụ		Aa
sủa		Vit
suất		Na
suất điện động		Na
suất vốn		Na
súc		Na, Vt
súc sản		Na
súc sắc		Nc, Ng
súc sinh		Na
súc tích		Vit, Aa
súc vật		Nc, Ng
sục		Vt
sục bùn		Vit
sục sạo		Vit
sục sôi		Vt
sucre		Np
sui		Na
sui gia		Nc, Ng
sùi		Vt
sùi sụt		Vit
sủi		Vt
sulfamid		Np
sulfat		Np
sulfur		Np
sum họp		Vit
sum sê		Aa
sum suê		Aa
sum vầy		Vit
sùm sụp		Aa
sụm		Vit
sun		Vt
sun-fa-mít		Np
sun-fát		Np
sun-fua		Np
sún		Vt, Aa
sụn		Nc, Ng, Vt
sunfamit		Np
sunfat		Np
sunfua		Np
sung		Nc, Ng, Vt
sung công		Vit
sung huyết		Vit
sung mãn		Aa
sung sức		Aa
sung sướng		Aa
sung túc		Aa
sùng		Na, Vt
sùng bái		Vt
sùng đạo		Vit
sùng kính		Vt
sùng sục		Aa
sùng tín		Vit
sủng ái		Vt
sủng soảng		Aa
sũng		Aa
súng		Nc, Ng
súng cối		Nc, Ng
súng đạn		Nc, Ng
súng hơi		Nc, Ng
súng khai hậu		Nc, Ng
súng kíp		Nc, Ng
súng liên thanh		Nc, Ng
súng lục		Nc, Ng
súng máy		Nc, Ng
súng ngắn		Nc, Ng
súng ngựa trời		Nc, Ng
súng ống		Nc, Ng
súng phun lửa		Nc, Ng
súng sáu		Nc, Ng
súng trường		Nc, Ng
súng tự động		Nc, Ng
suối		Nc, Ng
suối vàng		Nc, Ng
suôn		Aa
suôn sẻ		Aa
suông		Aa
suồng sã		Aa
suốt		Na, Vt, Aa
súp de		Nc, Ng
súp lơ		Nc, Ng
sụp		Vit
sụp đổ		Vit
supde		Np
suplơ		Np
sút		Vt, Vit
sút cân		Vit
sút kém		Vit
sụt		Vit
sụt giá		Na, Vit
sụt sịt		Aa
sụt sùi		Aa
suy		Vt, Vim, Vtim
suy bại		Vit
suy bì		Vit
suy bụng ta ra bụng người		X
suy diễn		Vit
suy dinh dưỡng		Na
suy đoán		Vt, Vim, Vtim
suy đồi		Vit, Aa
suy đốn		Aa
suy gẫm		Vitim
suy giảm		Vit
suy kiệt		Vit
suy lí		Na, Vit
suy lí gián tiếp		Na
suy lí trực tiếp		Na
suy luận		Na, Vit
suy lý		Na, Vit
suy ngẫm		Vitim
suy nghĩ		Vitim
suy nhược		Aa
suy nhược thần kinh		Na
suy sụp		Vit, Vt
suy suyển		Vit
suy tàn		Vit
suy thoái		Vit
suy tị		Vit
suy tính		Vitim
suy tôn		Vt
suy tư		Na, Vitim
suy tưởng		Na, Vitim
suy tỵ		Vit
suy vi		Vit
suy vong		Vit
suy xét		Vt
suy yếu		Vit, Aa
suý		Na
suý phủ		Nc, Ng
suyễn		Na
suýt		Jt
suýt nữa		X
suýt soát		Aa
suỵt		Vt, E
sư		Nc, Ng
sư bà		Nc, Ng
sư bác		Nc, Ng
sư cô		Nc, Ng
sư cụ		Nc, Ng
sư đệ		Nc, Ng
sư đoàn		Nc, Ng
sư đoàn trưởng		Nc, Ng
sư hổ mang		Nc, Ng
sư huynh		Nc, Ng
sư mô		Nc, Ng
sư ni		Nc, Ng
sư ông		Nc, Ng
sư phạm		Na
sư phụ		Nc, Ng
sư sãi		Nc, Ng
sư thầy		Nc, Ng
sư trưởng		Nc, Ng
sư tử		Nc, Ng
sử		Na
sử ca		Nc, Ng
sử dụng		Vt
sử gia		Nc, Ng
sử học		Na
sử kí		Na
sử ký		Na
sử kí		Na
sử liệu		Na
sử quan		Na
sử quán		Nc, Ng
sử quân tử		Na
sử sách		Nc, Ng
sử thi		Na
sử xanh		Na
sứ		Na
sứ bộ		Nc, Ng
sứ giả		Nc, Ng
sứ mạng		Na
sứ mệnh		Na
sứ quán		Nc, Ng
sứ quân		Nc, Ng
sứ thần		Nc, Ng
sứ vệ sinh		Nc, Ng
sự		Nu
sự biến		Na
sự chủ		Na
sự cố		Na
sự đời		Na
sự kiện		Na
sự lòng		Na
sự nghiệp		Na
sự thật		Na
sự thể		Na
sự thế		Na
sự thực		Na
sự tích		Na
sự tình		Na
sự trạng		Na
sự vật		Nc, Ng
sự việc		Na
sự vụ		Aa
sự vụ chủ nghĩa		Aa
sưa		Aa
sửa		Vt
sửa chữa		Vt
sửa chữa lớn		Vit
sửa chữa nhỏ		Vit
sửa chữa vừa		Vit
sửa đổi		Vt
sửa mình		Vit
sửa sai		Vit
sửa sang		Vt
sửa soạn		Vt
sữa		Nc, Ng
sữa chua		Nc, Ng
sữa đậu nành		Nc, Ng
sữa ong chúa		Nc, Ng
sữa tươi		Nc, Ng
sức		Na, Vt
sức bật		Na
sức bền		Na
sức dài vai rộng		X
sức ép		Na
sức kéo		Na
sức khoẻ		Na
sức lao động		Na
sức lực		Na
sức mạnh		Na
sức mấy		X
sức mua		Na
sức sản xuất		Na
sức sống		Na
sức vóc		Na
sực		Vit, Jt, Jr
sực nức		Vit
sưng		Vit
sưng húp		Vit
sưng sỉa		Aa
sưng vều		Aa
sưng vếu		Aa
sưng vù		Aa
sừng		Nc, Ng
sừng sỏ		Aa
sừng sộ		Vit
sừng sững		An
sửng		Aa
sửng cồ		Vit
sửng sốt		Vit
sững		Vit, Aa
sững sờ		Aa
sựng		Vit, Aa
sưởi		Vt
sườn		Nc, Ng
sườn sượt		Aa
sương		Nc, Ng, Vt
sương giá		Nc, Ng
sương giáng		Nc, Ng
sương gió		Nc, Ng
sương móc		Nc, Ng
sương mù		Nc, Ng
sương muối		Nc, Ng
sương phụ		Na
sướng		Aa
sướng mạ		Na
sướng rơn		Aa
sượng		Aa
sượng mặt		Aa
sượng sùng		Aa
sướt		Vit, Aa
sướt mướt		Aa
sượt		Vit, Aa
sượt		Aa
sứt		Vt, Aa
sứt mẻ		Aa
sứt sẹo		Aa
sưu		Na
sưu dịch		Na
sưu tầm		Vt
sưu tập		Nc, Ng, Vt
sưu thuế		Na
sửu		Na
sỹ		Na, Vit
sỹ khí		Na
sỹ phu		Nc, Ng
sỹ quan		Nc, Ng
sỹ số		Na
sỹ tốt		Nc, Ng
sỹ tử		Nc, Ng
symposium		Np
syndicat		Np
T.B.		X
ta		Pp, I
ta-bu		Np
ta đây		X
ta luy		Np
ta-nanh		Np
ta-rô		Np, Vit
ta-tăng		Np
ta thán		Vit
tà		Na, Aa
tà dâm		Aa
tà dương		Na
tà đạo		Na
tà gian		Aa
tà giáo		Na
tà khí		Na
tà ma		Na
tà tà		Jr
tà tâm		Na
tà thuật		Na
tà thuyết		Na
tà vẹt		Nc, Ng
tà ý		Na
tả		Na, Vt, Aa
tả biên		Na
tả chân		Vit
tả dực		Na
tả đạo		Na
tả hữu		Na
tả khuynh		Aa
tả ngạn		Nc, Ng
tả thực		Vit
tả tơi		Aa
tả xung hữu đột		Vit
